Country Name,Country Code,2023
Monaco,MCO,256580.515122745
Liechtenstein,LIE,207973.617746758
Bermuda,BMU,132604.439086216
Luxembourg,LUX,131407.681364513
Ireland,IRL,103887.800388081
Switzerland,CHE,100631.802755125
Cayman Islands,CYM,97749.5078960846
Isle of Man,IMN,88328.548125887
Norway,NOR,87497.3289297342
Singapore,SGP,85412.230345235
United States,USA,82304.6204272866
Qatar,QAT,80195.8746508549
Iceland,ISL,79960.0961535662
North America,NAC,79326.9076599571
Channel Islands,CHI,74589.1381155014
Faroe Islands,FRO,71774.3522353393
Denmark,DNK,68453.8769281145
"Macao SAR, China",MAC,67476.5290813306
Australia,AUS,64835.9199754535
Netherlands,NLD,64572.0059558854
Greenland,GRL,58498.9743142433
Austria,AUT,56033.573792065
Sweden,SWE,55567.0890080496
Belgium,BEL,54690.0942734964
San Marino,SMR,54264.570495898
Canada,CAN,54220.3285039875
Post-demographic dividend,PST,53961.341810452
Germany,DEU,53940.4073447462
Finland,FIN,52821.5114340717
Israel,ISR,52003.7200729997
"Hong Kong SAR, China",HKG,50565.4647717265
United Kingdom,GBR,49200.8101526146
United Arab Emirates,ARE,49040.6947521035
High income,HIC,48708.4624685822
New Zealand,NZL,48654.904227478
Andorra,AND,46812.4484486309
OECD members,OED,46672.5139916762
Euro area,EMU,45068.7010930397
France,FRA,44690.9345395117
Virgin Islands (U.S.),VIR,44320.909185774
Guam,GUM,41833.1517132825
European Union,EUU,41392.0743803078
Malta,MLT,40182.4313854634
Italy,ITA,39065.4244365633
"Bahamas, The",BHS,38231.774484278
Sint Maarten (Dutch part),SXM,38077.5444869761
Puerto Rico (US),PRI,36948.4036416846
Cyprus,CYP,36551.41796875
Saudi Arabia,SAU,36156.848337701
Turks and Caicos Islands,TCA,35470.2151608295
Kuwait,KWT,34075.8490439847
Aruba,ABW,33984.7906198041
Japan,JPN,33836.1756271617
New Caledonia,NCL,33516.363085906
Spain,ESP,33509.0127982139
"Korea, Rep.",KOR,33121.3712885508
Brunei Darussalam,BRN,32890.5492465722
Slovenia,SVN,32610.110922729
Czechia,CZE,31591.0568216357
Estonia,EST,30133.304450454
Europe & Central Asia,ECS,29835.7180523654
Bahrain,BHR,29290.1284215098
Lithuania,LTU,27786.0057829276
Portugal,PRT,27386.2920595024
Slovak Republic,SVK,24673.5482979144
Barbados,BRB,23804.0249914995
Northern Mariana Islands,MNP,23785.754590043
Greece,GRC,23400.7278817691
Uruguay,URY,23019.4221560046
French Polynesia,PYF,22774.1418988734
Central Europe and the Baltics,CEB,22699.5351734821
Latvia,LVA,22675.5786295407
St. Kitts and Nevis,KNA,22600.4502299468
Hungary,HUN,22312.1790289763
Poland,POL,22145.2643088909
Croatia,HRV,21865.4562838641
