sede_id,tipo_seccion
ECHES,Seccion
ERUNI,Seccion
EHAIT,Seccion
EKENY,Seccion
ERUNI,Seccion
CNYOR,Seccion
EPBAJ,Seccion
EECUA,Seccion
ESSED,Seccion
EJAPO,Seccion
ESALV,Seccion
EGUAT,Seccion
ETAIL,Seccion
ETURQ,Seccion
EBRAS,Agregaduria  Militar
EPORT,Seccion
CGUAY,Seccion
EBRAS,Agregaduria  Militar
EBRAS,Agregaduria  Militar
EBOLV,Seccion
EEEUU,Seccion
ECHIN,Seccion
EINDI,Seccion
ESURI,Seccion
EPBAJ,Agregaduria  Militar
EPERU,Agregaduria  Militar
EHILE,Agregaduria  Militar
EEEUU,Seccion
EBOLV,Agregaduria  Militar
EALEM,Agregaduria  Militar
EFRUS,Agregaduria  Militar
ECHIN,Agregaduria  Militar
EISRA,Seccion
EKUWA,Seccion
EMEXI,Agregaduria  Militar
ESAFR,Agregaduria  Militar
ECOLO,Agregaduria  Militar
EITAL,Agregaduria  Militar
EINDI,Agregaduria  Militar
ERUNI,Seccion
ERUNI,Agregaduria  Militar
EBOLV,Seccion
EBOLV,Seccion
EECUA,Seccion
EEGIP,Agregaduria  Militar
EHILE,Agregaduria  Militar
EEEUU,Seccion
EHILE,Agregaduria  Militar
CNYOR,Seccion
ETUNE,Seccion
EKENY,Seccion
ETRIA,Seccion
ECANA,Seccion
ETRIA,Seccion
ETRIA,Seccion
ETRIA,Seccion
ETRIA,Seccion
ECEUR,Seccion
ECEUR,Seccion
EEEUU,Seccion
EBRAS,Seccion
CPCAR,Seccion
EKENY,Sección  Consular
CGUAY,Seccion
EBOLV,Seccion
EHAIT,Seccion
ETUNE,Seccion
ECOLO,Seccion
EJAPO,Seccion
EBOLV,Seccion
EKENY,Seccion
ESALV,Seccion
CGMUM,Seccion
EPBAJ,Seccion
CNYOR,Seccion
CNYOR,Seccion
EKENY,Seccion
EUNGR,Seccion
CGMUM,Seccion
EBOLV,Seccion
EMEXI,Seccion
EFILI,Sección  Consular
EFILI,Seccion
ESSED,Seccion
ESUIZ,Seccion
EITAL,Seccion
EISRA,Seccion
ETUNE,Seccion
EBELG,Seccion
ECORE,Seccion
EESPA,Seccion
EINDI,Seccion
EFRAN,Seccion
EUNGR,Seccion
EURUG,Seccion
EALEM,Seccion
EPNMA,Seccion
EECUA,Seccion
ECOLO,Seccion
EHILE,Seccion
EJAPO,Seccion
