sede_id,pais_castellano,region_geografica,pais_iso_3,estado,redes_sociales
CALEG,REPÚBLICA  FEDERATIVA  DEL  BRASIL,AMÉRICA  DEL  SUR,BRA,Activo,"https://twitter.com/ArgPortoAlegre  //  https://www.facebook.com/ArgentinaEnPortoAlegre/  //  https://www.instagram.com/argenportoalegre/  //  "
CANTO,REPÚBLICA  DE  CHILE,AMÉRICA  DEL  SUR,CHL,Activo,"https://www.facebook.com/Consulado-de-la-Rep%C3%BAblica-Argentina-en-Antofagasta-255728465291743/  //  https://www.instagram.com/consulargantofagasta/  //  "
CAREN,REPÚBLICA  DE  CHILE,AMÉRICA  DEL  SUR,CHL,Activo,"https://www.facebook.com/profile.php?id=100014152878593  //  "
CASUN,REPÚBLICA  DEL  PARAGUAY,AMÉRICA  DEL  SUR,PRY,Activo,
CATLA,Estados  Unidos  de  América,AMÉRICA  DEL  NORTE,USA,Activo,"instagram.com/ARGenAtlanta  //  facebook.com/ARGenAtlanta  //  https://www.linkedin.com/company/ARGenAtlanta  //  x.com/ARGenAtlanta  //  "
CBARC,REINO  DE  ESPAÑA,EUROPA  OCCIDENTAL,ESP,Activo,"https://www.facebook.com/ArgEnBarcelona/  //  https://twitter.com/argenbarcelona  //  https://www.instagram.com/argenbarcelona/  //  https://www.youtube.com/@consuladoargentinoenbarcel2664  //  https://www.linkedin.com/company/consulado-y-centro-de-promoci%C3%B3n-de-la-republica-argentina-en-barcelona  //  "
CBEIJ,REPÚBLICA  POPULAR  DE  CHINA,ASIA,CHN,Activo,
CBELO,REPÚBLICA  FEDERATIVA  DEL  BRASIL,AMÉRICA  DEL  SUR,BRA,Activo,"https://www.facebook.com/ArgentinaEnBeloHorizonte/  //  https://twitter.com/consgralbelo  //  https://www.instagram.com/consgralbelo/  //  "
CBONN,REPÚBLICA  FEDERAL  DE  ALEMANIA,EUROPA  OCCIDENTAL,DEU,Activo,"https://www.facebook.com/ConsuladoArgentinoenBonn  //  http://www.instagram.com/argentinaenbonn  //  "
CCADI,REINO  DE  ESPAÑA,EUROPA  OCCIDENTAL,ESP,Activo,"www.facebook.com/ArgentinaEnCadiz  //  "
CCEST,REPÚBLICA  DEL  PARAGUAY,AMÉRICA  DEL  SUR,PRY,Activo,"https://www.facebook.com/ArgEnCiudaddeleste/  //  https://www.instagram.com/argenciudaddeleste  //  "
CCHIC,Estados  Unidos  de  América,AMÉRICA  DEL  NORTE,USA,Activo,"https://twitter.com/argenchicago  //  https://www.facebook.com/ArgentinaEnChicago  //  https://www.youtube.com/channel/UCjZ3a6zTr156aP_zg-1lQfQ/featured  //  consulado_argentino_chicago  //  "
CCOCH,ESTADO  PLURINACIONAL  DE  BOLIVIA,AMÉRICA  DEL  SUR,BOL,Activo,"https://www.facebook.com/ArgentinaEnCochabamba/  //  "
CCOLO,REPÚBLICA  ORIENTAL  DEL  URUGUAY,AMÉRICA  DEL  SUR,URY,Activo,"https://www.facebook.com/ArgentinaenColonia  //  "
CCONC,REPÚBLICA  DE  CHILE,AMÉRICA  DEL  SUR,CHL,Activo,
