pais_castellano,Country Code,cantidad_sedes,promedio_secciones,pbi_per_capita_2023
REPÚBLICA  DE  AUSTRIA,AUT,1,10.0,56033.573792065
REPÚBLICA  DE  COLOMBIA,COL,1,9.0,7000.83660501046
FEDERACIÓN  DE  RUSIA,RUS,1,8.0,14159.3876953125
REINO  DE  LOS  PAÍSES  BAJOS,NLD,1,8.0,64572.0059558854
REPÚBLICA  DE  LA  INDIA,IND,2,7.0,2530.12031278204
BARBADOS,BRB,1,7.0,23804.0249914995
REPÚBLICA  DE  COREA,KOR,1,7.0,33121.3712885508
REPÚBLICA  DE  HAITÍ,HTI,1,7.0,1705.75808460999
REPÚBLICA  DE  MOZAMBIQUE,MOZ,1,7.0,622.985619320596
REPÚBLICA  TUNECINA,TUN,1,7.0,3950.3753419816
日本国  (JAPÓN),JPN,1,7.0,33836.1756271617
HUNGRÍA,HUN,1,6.0,22312.1790289763
REPÚBLICA  ARGELINA  DEMOCRÁTICA  Y  POPULAR,DZA,1,6.0,5364.02795022731
REPÚBLICA  DE  ANGOLA,AGO,1,6.0,2309.53413042773
REPÚBLICA  DE  HONDURAS,HND,1,6.0,3227.45762509776
REPÚBLICA  DE  KENYA,KEN,1,6.0,1952.30457929636
REPÚBLICA  DE  SURINAME,SUR,1,6.0,5494.07409425517
REPÚBLICA  ÁRABE  DE  EGIPTO,EGY,1,6.0,3456.78968456253
REPÚBLICA  DEL  ECUADOR,ECU,2,5.5,6737.84748379638
Reino  de  Bélgica,BEL,2,5.5,54690.0942734964
ESTADO  DE  KUWAIT,KWT,1,5.0,34075.8490439847
REINO  DE  MARRUECOS,MAR,1,5.0,3771.4462890625
REINO  DE  SUECIA,SWE,1,5.0,55567.0890080496
REINO  DE  TAILANDIA,THA,1,5.0,7195.10130919449
REPÚBLICA  BOLIVARIANA  DE  VENEZUELA,VEN,1,5.0,15943.6127197163
REPÚBLICA  CHECA,CZE,1,5.0,31591.0568216357
REPÚBLICA  DE  AZERBAIYÁN,AZE,1,5.0,7133.02838048328
REPÚBLICA  DE  CUBA,CUB,1,5.0,9605.26125067263
REPÚBLICA  DE  EL  SALVADOR,SLV,1,5.0,5365.44491399171
REPÚBLICA  DE  FILIPINAS,PHL,1,5.0,3804.08274131097
REPÚBLICA  DE  GUATEMALA,GTM,1,5.0,5758.30876298845
REPÚBLICA  DE  INDONESIA,IDN,1,5.0,4876.30774512252
REPÚBLICA  DE  PANAMÁ,PAN,1,5.0,18686.4050961265
REPÚBLICA  DE  SINGAPUR,SGP,1,5.0,85412.230345235
REPÚBLICA  LIBANESA,LBN,1,5.0,3477.72489842684
REPÚBLICA  PORTUGUESA,PRT,1,5.0,27386.2920595024
AUSTRALIA,AUS,2,4.5,64835.9199754535
ESTADO  DE  ISRAEL,ISR,2,4.0,52003.7200729997
REPÚBLICA  FRANCESA,FRA,2,4.0,44690.9345395117
EMIRATOS  ÁRABES  UNIDOS,ARE,1,4.0,49040.6947521035
