pais,nombre,cantidad_redes_distintas
AGO,REPÚBLICA  DE  ANGOLA,3 
ARE,EMIRATOS  ÁRABES  UNIDOS,2
ARM,REPÚBLICA  DE  ARMENIA,4
AUS,AUSTRALIA,4
AUT,REPÚBLICA  DE  AUSTRIA,4
AZE,REPÚBLICA  DE  AZERBAIYÁN,4
BEL,Reino  de  Bélgica,6
BGD,REPÚBLICA  POPULAR  DE  BANGLADESH,2
BGR,REPÚBLICA  DE  BULGARIA,3
BOL,ESTADO  PLURINACIONAL  DE  BOLIVIA,4
BRA,REPÚBLICA  FEDERATIVA  DEL  BRASIL,4
BRB,BARBADOS,2
CAN,CANADÁ,6
CHE,Confederación  Suiza,5
CHL,REPÚBLICA  DE  CHILE,4
CHN,REPÚBLICA  POPULAR  DE  CHINA,3
COL,REPÚBLICA  DE  COLOMBIA,2
CRI,REPÚBLICA  DE  COSTA  RICA,3
CUB,REPÚBLICA  DE  CUBA,3
CZE,REPÚBLICA  CHECA,3
DEU,REPÚBLICA  FEDERAL  DE  ALEMANIA,3
DNK,REINO  DE  DINAMARCA,4
DOM,REPÚBLICA  DOMINICANA,3
DZA,REPÚBLICA  ARGELINA  DEMOCRÁTICA  Y  POPULAR,4
ECU,REPÚBLICA  DEL  ECUADOR,4
EGY,REPÚBLICA  ÁRABE  DE  EGIPTO,3
ESP,REINO  DE  ESPAÑA,6
ETH,REPÚBLICA  DEMOCRÁTICA  FEDERAL  DE  ETIOPÍA,3
FIN,REPÚBLICA  DE  FINLANDIA,2
FRA,REPÚBLICA  FRANCESA,3
GRB,REINO  UNIDO  DE  GRAN  BRETAÑA  E  IRLANDA  DEL  NORTE,6
GRC,REPÚBLICA  HELÉNICA,3
GTM,REPÚBLICA  DE  GUATEMALA,4
HND,REPÚBLICA  DE  HONDURAS,1
HUN,HUNGRÍA,4
IDN,REPÚBLICA  DE  INDONESIA,1
IND,REPÚBLICA  DE  LA  INDIA,4
IRL,IRLANDA,3
ISR,ESTADO  DE  ISRAEL,3
ITA,REPÚBLICA  ITALIANA,5
JAM,JAMAICA,3
JPN,日本国  (JAPÓN),4
KEN,REPÚBLICA  DE  KENYA,4
KOR,REPÚBLICA  DE  COREA,3
KWT,ESTADO  DE  KUWAIT,1
LBN,REPÚBLICA  LIBANESA,3
MAR,REINO  DE  MARRUECOS,3
MEX,ESTADOS  UNIDOS  MEXICANOS,5
MOZ,REPÚBLICA  DE  MOZAMBIQUE,2
MYS,MALASIA,2
NGA,REPÚBLICA  FEDERAL  DE  NIGERIA,3
NIC,REPÚBLICA  DE  NICARAGUA,1
NLD,REINO  DE  LOS  PAÍSES  BAJOS,4
NOR,REINO  DE  NORUEGA,5
NZL,NUEVA  ZELANDIA,2
PAK,REPÚBLICA  ISLÁMICA  DE  PAKISTÁN,2
PAN,REPÚBLICA  DE  PANAMÁ,1
PER,REPÚBLICA  DEL  PERÚ,3
PHL,REPÚBLICA  DE  FILIPINAS,4
POL,REPÚBLICA  DE  POLONIA,2
PRT,REPÚBLICA  PORTUGUESA,1
PRY,REPÚBLICA  DEL  PARAGUAY,4
PSE,ESTADO  DE  PALESTINA,2
QAT,ESTADO  DE  QATAR,1
ROU,RUMANIA,2
RUS,FEDERACIÓN  DE  RUSIA,3
SAU,REINO  DE  ARABIA  SAUDITA,4
SEN,REPÚBLICA  DE  SENEGAL,1
SGP,REPÚBLICA  DE  SINGAPUR,3
SLV,REPÚBLICA  DE  EL  SALVADOR,4
SRB,REPÚBLICA  DE  SERBIA,1
SWE,REINO  DE  SUECIA,4
SYR,REPÚBLICA  ÁRABE  SIRIA,2
THA,REINO  DE  TAILANDIA,2
TTO,REPÚBLICA  DE  TRINIDAD  Y  TOBAGO,2
TUN,REPÚBLICA  TUNECINA,5
TUR,República  de  Türkiye,3
UKR,UCRANIA,3
URY,REPÚBLICA  ORIENTAL  DEL  URUGUAY,4
USA,Estados  Unidos  de  América,7
VAT,SANTA  SEDE,5
VEN,REPÚBLICA  BOLIVARIANA  DE  VENEZUELA,4
VNM,REPÚBLICA  SOCIALISTA  DE  VIETNAM,3
ZAF,REPÚBLICA  DE  SUDÁFRICA,4
